ааб	AA P <SPACE>
хубилалтада	H Uh VJ I L EH L T EH D T EH <SPACE>
хубилалтанууд	H Uh VJ I L EH L T EH N UUh T <SPACE>
хубилгаха	H Uh VJ I L Gr EH H EH <SPACE>
хубитаяа	H Uh VJ I T EH J AA <SPACE>
хубсаһа	H Uh P S EH HH EH <SPACE>
хубсаһадтай	H Uh P S EH HH EH T T EE <SPACE>
хубсаһан	H Uh P S EH HH EH NG <SPACE>
хубсаһанда	H Uh P S EH HH EH N D EH <SPACE>
хубсаһатаяа	H Uh P S EH HH EH T EH J AA <SPACE>
худаг	H Uh D EH K <SPACE>
худал	H Uh D EH L <SPACE>
худалдажа	H Uh D EH L ZH EH <SPACE>
хужар	H Uh ZH EH R <SPACE>
хужарлуулыт	H Uh ZH EH R L UUh L Y T <SPACE>
хулгай	H Uh L Gr EE <SPACE>
хулгайшаниие	H Uh L Gr EE SH EH NJ II J EH <SPACE>
хулинсагуудай	H Uh LJ I N S EH Gr UUh D EE <SPACE>
хулинсагуудайнгаа	H Uh LJ I N S EH Gr UUh D EE NG G AA <SPACE>
хулууда	H Uh L UUh D EH <SPACE>
хун	H Uh NG <SPACE>
хурамхаан	H Uh R EH M H AA NG <SPACE>
хурган	H Uh R Gr EH NG <SPACE>
хурдандал	H Uh R D EH N D EH L <SPACE>
хурса	H Uh R S EH <SPACE>
хурсатай	H Uh R S EH T EE <SPACE>
хурьга	H Uh RJ Gr EH <SPACE>
хуу	H UUh <SPACE>
хуубааһан	H Uh V AA HH EH NG <SPACE>
хуурай	H UUh R EE <SPACE>
хуушаранхай	H UUh SH EH R EH NG H EE <SPACE>
хушажархёо	H Uh SH EH ZH EH R HJ OOh <SPACE>
хэ	H E <SPACE>
хэблэгдэнхэй	H E B L EH G D EH N H EE <SPACE>
хэблэгдээн	H E B L EH G D EE NG <SPACE>
хэблэлдэ	H E B L EH L D EH <SPACE>
хэблэлнүүдтэ	H E B L EH L N UUs T T EH <SPACE>
хэблэлэй	H E B L EH L EE <SPACE>
хэбэ	H E V EH <SPACE>
хэбэртэй	H E V EH R T EE <SPACE>
хэгдэжэ	H E G D EH ZH EH <SPACE>
хэды	H E D Y <SPACE>
хэдышье	H E D Y SH J EH <SPACE>
хэдэг	H E D EH K <SPACE>
хэдэн	H E D EH NG <SPACE>
хэжэ	H E ZH EH <SPACE>
хэжэл	H E ZH EH L <SPACE>
хэжэнгын	H E ZH EH NG G Y NG <SPACE>
хэзээ	H E Z EE <SPACE>
хэзээб	H E Z EE P <SPACE>
хэлсэдэг	H E L S EH D EH K <SPACE>
хэлсээ	H E L S EE <SPACE>
хэлсээн	H E L S EE NG <SPACE>
хэлсүүлхэгүйн	H E L S UUs L H EH Gr UIs NG <SPACE>
хэлые	H EH L Y J EH <SPACE>
хэлыень	H EH L Y J EH NJ <SPACE>
хэлэ	H E L EH <SPACE>
хэлэбэ	H EH L EH V EH <SPACE>
хэлэбэл	H E L EH V EH L <SPACE>
хэлэгдээ	H E L EH G D EE <SPACE>
хэлэдэг	H E L EH D EH K <SPACE>
хэлэеэ	H E L EE J EE <SPACE>
хэлэжэ	H E L EH ZH EH <SPACE>
хэлэжэрхидэг	H E L EH ZH E R HJ I D EH K <SPACE>
хэлэмнай	H E L EH M N EE <SPACE>
хэлэн	H E L EH NG <SPACE>
хэлэнгүй	H E L EH NG G UIs <SPACE>
хэлэндэ	H E L EH N D EH <SPACE>
хэлэндэнь	H EH L EH N D EH NJ <SPACE>
хэлэнэ	H E L EH N EH <SPACE>
хэлэнэй	H E L EH N EE <SPACE>
хэлэнэйнгээ	H EH L EH N EE NG G EE <SPACE>
хэлэнүүд	H E L EH N UUs T <SPACE>
хэлэтэй	H E L EH T EE <SPACE>
хэлэхэ	H EH L EH H EH <SPACE>
хэлэхэбши	H EH L EH H EH P SH Y <SPACE>
хэлэхэдэ	H EH L EH H EH D EH <SPACE>
хэлэхэеэ	H EH L EH H EH J EE <SPACE>
хэлэхээр	H E L EH H EE R <SPACE>
хэлээ	H E L EE <SPACE>
хэлээб	H EH L EE P <SPACE>
хэлээгүй	H E L EE Gr UIs <SPACE>
хэлээр	H E L EE R <SPACE>
хэлэһэн	H EH L EH HH EH NG <SPACE>
хэлэһэниинь	H E L EH HH EH NJ II NJ <SPACE>
хэмжээ	H E M ZH EE <SPACE>
хэмжээлгээрээ	H E M ZH EE L Gr EE R EE <SPACE>
хэмжээндэ	H E M ZH EE N D EH <SPACE>
хэмжээнэй	H E M ZH EE N EE <SPACE>
хэмжээтэйгээр	H E M ZH EE T EE Gr EE R <SPACE>
хэн	H E NG <SPACE>
хэнхэй	H E N H EE <SPACE>
хэншье	H E N SH J EH <SPACE>
хэнэбди	H E N EH B DJ I <SPACE>
хэнэй	H E N EE <SPACE>
хэр	H E R <SPACE>
хэрбэеэ	H E R V EH J EE <SPACE>
хэрбээ	H E R V EE <SPACE>
хэрэг	H E R EH K <SPACE>
хэрэггүй	H E R EH G G UIs <SPACE>
хэрэглэгдэхэеэ	H E R EH G L EH G D EH H EH J EE <SPACE>
хэрэглэжэ	H E R EH G L EH ZH EH <SPACE>
хэрэглэн	H E R EH G L EH NG <SPACE>
хэрэглэхэ	H E R EH G L EH H EH <SPACE>
хэрэглэһэн	H E R EH G L EH HH EH NG <SPACE>
хэрэгнай	H E R EH G N EE <SPACE>
хэрэгсэлээ	H E R EH G S EH L EE <SPACE>
хэрэгтэ	H E R EH K T EH <SPACE>
хэрэгтэй	H E R EH K T EE <SPACE>
хэрэгээ	H E R EH Gr EE <SPACE>
хэрэгүүд	H E R EH Gr UUs T <SPACE>
хэрэм	H E R EH M <SPACE>
хэрэнэй	H E R EH N EE <SPACE>
хэсуу	H EH S UUh <SPACE>
хэсүү	H E S UUs <SPACE>
хэтын	H E T Y NG <SPACE>
хэтэдэ	H E T EH D EH <SPACE>
хэхээр	H E H EE R <SPACE>
хэшээл	H E SH EE L <SPACE>
хэшээлынь	H E SH EE L Y NJ <SPACE>
хэшээлээ	H E SH EE L EE <SPACE>
хээлитэй	H EE LJ I T EE <SPACE>
хүбшэргэйе	H Us P SH EH R Gr EE J EH <SPACE>
хүбүүгээ	H Us V UUs Gr EE <SPACE>
хүбүүд	H Us V UUs T <SPACE>
хүбүүдтэй	H Us V UUs T T EE <SPACE>
хүбүүдые	H Us V UUs D Y J EH <SPACE>
хүбүүдэй	H Us V UUs D EE <SPACE>
хүбүүдээ	H Us V UUs D EE <SPACE>
хүбүүе	H Us V UUs J EH <SPACE>
хүбүүмнай	H Us V UUs M N EE <SPACE>
хүбүүн	H Us V UUs NG <SPACE>
хүбүүндэ	H Us V UUs N D EH <SPACE>
хүбүүндээ	H Us V UUs N D EE <SPACE>
хүбүүтэйб	H Us V UUs T EE P <SPACE>
хүбүүхэн	H Us V UUs H EH NG <SPACE>
хүбүүхэнэй	H Us V UUs H EH N EE <SPACE>
хүгжэлтые	H Us G ZH EH L T Y J EH <SPACE>
хүгжэлтын	H Us G ZH EH L T Y NG <SPACE>
хүгжэлтэ	H Us G ZH EH L T EH <SPACE>
хүгжэлтэдэ	H Us G ZH EH L T EH D EH <SPACE>
хүгжэм	H Us G ZH EH M <SPACE>
хүгжэмшэд	H Us G ZH EH M SH EH T <SPACE>
хүгжэмөөр	H Us G ZH EH M OOs R <SPACE>
хүгжэнги	H Us G ZH EH NG GJ I <SPACE>
хүгжэхэ	H Us G ZH EH H EH <SPACE>
хүгжэһэн	H Us G ZH EH HH EH NG <SPACE>
хүгжөө	H Us G ZH OOs <SPACE>
хүгжөөжэ	H Us G ZH OOs ZH EH <SPACE>
хүгжөөлхэдэ	H Us G ZH OOs L H EH D EH <SPACE>
хүгжөөнэ	H Us G ZH OOs N EH <SPACE>
хүгжөөнэгүй	H Us G ZH OOs N EH Gr UIs <SPACE>
хүгжөөхөөр	H Us G ZH OOs H OOs R <SPACE>
хүгшэд	H Us G SH EH T <SPACE>
хүгшэдые	H Us G SH EH D Y J EH <SPACE>
хүгшэн	H Us G SH EH NG <SPACE>
хүдэлгэн	H Us D EH L Gr EH NG <SPACE>
хүдэлгэһэнөө	H Us D EH L Gr EH HH EH N OOh <SPACE>
хүдэлгүүр	H Us D EH L Gr UUs R <SPACE>
хүдэлгүүртэй	H Us D EH L Gr UUs R T EE <SPACE>
хүдэлгөөжэ	H Us D EH L Gr OOs ZH EH <SPACE>
хүдэлдэг	H Us D EH L D EH K <SPACE>
хүдэлжэ	H Us D EH L ZH EH <SPACE>
хүдэлмэридэ	H Us D EH L M EH RJ I D EH <SPACE>
хүдэлмэрилжэ	H Us D EH L M EH RJ I L ZH EH <SPACE>
хүдэлмэримнай	H Us D EH L M EH RJ I M N EE <SPACE>
хүдэлмэришэ	H Us D EH L M EH RJ I SH EH <SPACE>
хүдэлхыень	H Us D EH L H Y J EH NJ <SPACE>
хүдэлхэ	H Us D EH L H EH <SPACE>
хүдэлхэгүй	H Us D EH L H EH Gr UIs <SPACE>
хүдэлхэдөө	H Us D EH L H EH D OOs <SPACE>
хүдэлхэеэ	H Us D EH L H EH J EE <SPACE>
хүдэлһэн	H Us D EH L HH EH NG <SPACE>
хүдэлөө	H Us D EH L OOs <SPACE>
хүдэлөөд	H Us D EH L OOs T <SPACE>
хүдөө	H Us D OOs <SPACE>
хүдөөгэй	H Us D OOs Gr EE <SPACE>
хүдөөгэймнай	H Us D OOs Gr EH M N EE <SPACE>
хүдөөһөө	H Us D OOs HH OOs <SPACE>
хүзүүбшэ	H Us Z UUs P SH EH <SPACE>
хүйтэн	H UIs T EH NG <SPACE>
хуйтэн	H UIs T EH NG <SPACE>
хүйһөөрөө	H UIs HH OOs R OOs <SPACE>
хүл	H Us L <SPACE>
хүлгэн	H Us L Gr EH NG <SPACE>
хүлгөөдэг	H Us L Gr OOs D EH G <SPACE>
хүлгөөндэ	H Us L Gr OOs N D EH <SPACE>
хүлгөөнһөө	H Us L Gr OOs N HH OOs <SPACE>
хүлеэжэ	H Us LJ EE ZH EH <SPACE>
хүлеэсэтэй	H Us LJ EE S EH T EE <SPACE>
хүлеэхэ	H Us LJ EE H EH <SPACE>
хүлөө	H Us L OOs <SPACE>
хүм	H Us M <SPACE>
хүмүүжүүлгын	H Us M UUs ZH UUs L Gr Y NG <SPACE>
хүмүүжүүлжэ	H Us M UUs ZH UUs L ZH EH <SPACE>
хүмүүжүүлнэ	H Us M UUs ZH UUs L N EH <SPACE>
хүн	H Us NG <SPACE>
хүнби	H Us NG BJ I <SPACE>
хүнгэн	H Us NG G EH NG <SPACE>
хүнгэхэнөөр	H Us NG G EH H EH N OOs R <SPACE>
хүндые	H Us N D Y J EH <SPACE>
хүндэ	H Us N D EH <SPACE>
хүндэлхэ	H Us N D EH L H EH <SPACE>
хүндэлэн	H Us N D EH L EH NG <SPACE>
хүндэлһэн	H Us N D EH L HH EH NG <SPACE>
хүндэмүүшэ	H Us N D EH M UUs SH EH <SPACE>
хүндэтэ	H Us N D EH T EH <SPACE>
хүндэтэй	H Us N D EH T EE <SPACE>
хүндөөр	H Us N D OOs R <SPACE>
хүниие	H Us NJ II J EH <SPACE>
хүнта	H Us N T EH <SPACE>
хүнэй	H Us N EE <SPACE>
хүнүүд	H Us N UUs T <SPACE>
хүнүүдтэ	H Us N UUs T T EH <SPACE>
хүнүүдтэй	H Us N UUs T T EE <SPACE>
хүнүүдэй	H Us N UUs D EE <SPACE>
хүнүүдээр	H Us N UUs D EE R <SPACE>
хүргэдэг	H Us R Gr EH D EH K <SPACE>
хүргэнэб	H Us R Gr EH N EH P <SPACE>
хүргэхэ	H Us R Gr EH H EH <SPACE>
хүрин	H Us RJ I NG <SPACE>
хүртэбэ	H Us R T EH V EH <SPACE>
хүртэнхэй	H Us R T EH N H EE <SPACE>
хүртэнэ	H Us R T EH N EH <SPACE>
хүртэһэн	H Us R T EH HH EH NG <SPACE>
хүрьгэниинь	H Us RJ Gr EH NJ II NJ <SPACE>
хүрьһэтэй	H Us RJ HH EH T EE <SPACE>
хүрэжэ	H Us R EH ZH EH <SPACE>
хүрэнэ	H Us R EH N EH <SPACE>
хүрэтэр	H Us R EH T EH R <SPACE>
хүрэтэрөө	H Us R EH T EH R OOs <SPACE>
хүрэхэдөө	H Us R EH H EH D OOs <SPACE>
хүрэһэн	H Us R EH HH EH NG <SPACE>
хүсэ	H Us S EH <SPACE>
хүсэжэ	H Us S EH ZH EH <SPACE>
хүсэлдэшэхэдэнь	H Us S EH L D EH SH EH H EH D EH NJ <SPACE>
хүсэлтэйб	H Us S EH L T EE P <SPACE>
хүсэлтэйбди	H Us S EH L T EE B DJ I <SPACE>
хүсэлөө	H O S EH L OOs <SPACE>
хүсэн	H Us S EH NG <SPACE>
хүсэндэ	H Us S EH N D EH <SPACE>
хүсэнтэй	H Us S EH N T EE <SPACE>
хүсэнэб	H Us S EH N EH P <SPACE>
хүсэнэй	H Us S EH N EE <SPACE>
хүсэтэй	H Us S EH T EE <SPACE>
хүсэхөөр	H Us S EH H OOs R <SPACE>
хүсэһэн	H Us S EH HH EH NG <SPACE>
хүсөөтэдэ	H Us S OOs T EH D EE <SPACE>
хүтэлбэри	H Us T EH L V EH RJ I <SPACE>
хүтэлбэрииин	H Us T EH L V EH RJ II NG <SPACE>
хүтэлбэрилхэдэ	H Us T EH L V EH RJ I L H EH D EH <SPACE>
хүтэлбэрилэгшэ	H Us T EH L V EH RJ I K SH EH <SPACE>
хүтэлбэрилэгшэт	H Us T EH L V EH RJ I K SH EH T <SPACE>
хүтэлбэрилэгшөөр	H Us T EH L V EH RJ I K SH OOs R <SPACE>
хүтэлбэритэй	H Us T EH L V EH RJ I T EE <SPACE>
хүтэрэлдөөд	H Us T EH R EH L D OOs T <SPACE>
хүхэ	H Us H EH <SPACE>
хүхюу	H Us HJ UUh <SPACE>
хүхюун	H Us HJ UUh NG <SPACE>
хүхюутэй	H Us HJ UUh T EE <SPACE>
хүхюутэйгөөр	H Us HJ UUh T EE Gr OOs R <SPACE>
хүшэрхэн	H Us SH EH R H EH NG <SPACE>
хүшөө	H Us SH OOs <SPACE>
хүүгэд	H UUs Gr EH T <SPACE>
хүүгэдни	H UUs Gr EH D NJ I <SPACE>
хүүгэдтэ	H UUs Gr EH T T EH <SPACE>
хүүгэдтэй	H UUs Gr EH T T EE <SPACE>
хүүгэдтээ	H UUs Gr EH T T EE <SPACE>
хүүгэдые	H UUs Gr EH D Y J EH <SPACE>
хүүгэдэй	H UUs Gr EH D EE <SPACE>
хүүндэ	H UUs N D EH <SPACE>
хүүнүүд	H UUs N UUs T <SPACE>
хүүртээ	H UUs R T EE <SPACE>
хөөрхэн	H OOs R H EH NG <SPACE>
хөөрэгдэнэ	H OOs R EH G D EH N EH <SPACE>
хөөрэдэг	H OOs R D EH D EH K <SPACE>
хөөрэжэ	H OOs R EH ZH EH <SPACE>
хөөрэлдэжэ	H OOs R EH L D EH ZH EH <SPACE>
хөөрэлдөөд	H OOs R EH L D OOs T <SPACE>
хөөрэлдөөн	H OOs R EH L D OOs NG <SPACE>
хөөрэлдөөндэ	H OOs R EH L D OOs N D EH <SPACE>
хөөрэнгүй	H OOs R EH NG G UIs <SPACE>
хөөрэнэ	H OOs R EH N EH <SPACE>
хөөрөөгөө	H OOs R OOs Gr OOs <SPACE>
хөөрөөнэй	H OOs R OOs N EE <SPACE>
хөөрөөнүүдыень	H OOs R OOs N UUs D Y J EH NJ <SPACE>
цыденов	C Y DJ E N O V <SPACE>
цыденова	C Y DJ E N O V A <SPACE>
цыдып	C Y D Y P <SPACE>
цыдыпова	C Y D Y P O V A <SPACE>
цындыма	C Y N D Y M A <SPACE>
цыпелма	C Y PJ E L M A <SPACE>
цыпелмаагай	C Y PJ E L M AA Gr EE <SPACE>
цыпелмаае	C Y PJ E L M AA J EH <SPACE>
цыпелмагай	C Y PJ E L M A Gr EE <SPACE>
цыпелмада	C Y PJ E L M A D EH <SPACE>
цыпелмае	C Y PJ E L M A J EH <SPACE>
цыренгармаев	C Y RJ E N G A R M A J E F <SPACE>
цыренгармаевые	C Y RJ E N G A R M A J E V Y J E <SPACE>
цыренгармын	C Y RJ E NG G A R M Y NG <SPACE>
цырендашиев	C Y RJ E N D A SH Y J E F <SPACE>
цырендоржиев	C Y RJ E N D O R ZH Y J E F <SPACE>
цырендоржиевна  C Y RJ E N D O R ZH Y J E V N A <SPACE>
цыренжапов	C Y RJ E N ZH A P O F <SPACE>
цыреноватай	C Y RJ E N O V A T EE <SPACE>
цыцык	C Y C Y K <SPACE>
чагатай	CH A Gr EH T EE <SPACE>
чемпион	CH E M PJ I O NG <SPACE>
чимитов	CH I MJ I T O F <SPACE>
чингис	CH I N GJ I S <SPACE>
чингисхаан	CH I N GJ I S H AA NG <SPACE>
чингисхаанай	CH I N GJ I S H AA N EE <SPACE>
чингисхана	CH I N GJ I S H EH N EH <SPACE>
шабинартань	SH A VJ I N EH R T EH NJ <SPACE>
шагнажа	SH A G N EH ZH EH <SPACE>
шагнаха	SH A G N EH H EH <SPACE>
шадаа	SH A D AA <SPACE>
шадабари	SH A D EH V EH RJ I <SPACE>
шадабарида	SH A D EH V EH RJ I D EH <SPACE>
шадабарииень	SH A D EH V EH RJ II J EH NJ <SPACE>
шадабаритай	SH A D EH V EH RJ I T EE <SPACE>
шадабаряараа	SH A D EH V EH RJ AA R AA <SPACE>
шададаг	SH A D EH D EH K <SPACE>
шадал	SH A D EH L <SPACE>
шадалаа	SH A D EH L AA <SPACE>
шадалтай	SH A D EH L T EE <SPACE>
шадалые	SH A D EH L Y J EH <SPACE>
шадана	SH A D EH N EH <SPACE>
шадар	SH A D EH R <SPACE>
шадараар	SH A D EH R AA R <SPACE>
шадаха	SH A D EH H EH <SPACE>
шажан	SH A ZH EH NG <SPACE>
шаланова	SH A L A N O V A <SPACE>
шалановае	SH A L A N O V A J EH <SPACE>
шалгалта	SH A L Gr EH L T EH <SPACE>
шалгаран	SH A L Gr EH R EH NG <SPACE>
шалгаруулха	SH A L Gr EH R UUh L H EH <SPACE>
шалгаха	SH A L Gr EH H EH <SPACE>
шалтаад	SH A L T AA T <SPACE>
шалтагһаа	SH A L T EH G HH AA <SPACE>
шамайе	SH A M EE J EH <SPACE>
шамда	SH A M D EH <SPACE>
шамтай	SH A M T EE <SPACE>
шанагаяа	SH A N EH Gr EH J AA <SPACE>
шанажа	SH A N EH ZH EH <SPACE>
шаналга	SH A N EH L Gr EH <SPACE>
шанар	SH A N EH R <SPACE>
шанартай	SH A N EH R T EE <SPACE>
шанартайе	SH A N EH R T EE J EH <SPACE>
шанга	SH A NG G EH <SPACE>
шангай	SH A NG G EE <SPACE>
шанда	SH A N D EH <SPACE>
шандаганай	SH A N D EH Gr EH N EE <SPACE>
шандаганда	SH A N D EH Gr EH N D EH <SPACE>
шараа	SH A R AA <SPACE>
шарайтай	SH A R EE T EE <SPACE>
шарайшье	SH A R EE SH J EH <SPACE>
шараһан	SH A R EH HH EH NG <SPACE>
шата	SH A T EH <SPACE>
шатаар	SH A T AA R <SPACE>
шаташаһан	SH A T EH SH EH HH EH NG <SPACE>
шатын	SH A T Y NG <SPACE>
шах	SH A H <SPACE>
шахуу	SH A H UUh <SPACE>
швециин	SH VJ E C Y NG <SPACE>
шеметова	SH E MJ E T O V A <SPACE>
шенхоров	SH E N H O R O F <SPACE>
шенхорова	SH E N H O R O V A <SPACE>
шенхоровагай	SH E N H O R O V A Gr EE <SPACE>
шенхоровтоной	SH E N H O R O F T EH N EE <SPACE>
ши	SH Y <SPACE>
шииг	SH Y K <SPACE>
шиидхэбэл	SH Y T H EH V EH L <SPACE>
шиидхэгдээгүй	SH Y T H EH G D EE Gr UIs <SPACE>
шиидхэхы	SH Y T H EH H Y <SPACE>
шиидхэхэ	SH Y T H EH H EH <SPACE>
шиидэһэн	SH Y D EH HH EH NG <SPACE>
шинии	SH Uh NJ II <SPACE>
шишкинские	SH Y SH KJ I N S KJ I J E <SPACE>
шкаф	SH K A F <SPACE>
шог	SH O K <SPACE>
шогтой	SH O K T EE <SPACE>
шонхо	SH O N H EH <SPACE>
шоо	SH OOh <SPACE>
шоройдожо	SH O R EE D EH ZH EH <SPACE>
шпагат	SH P A G A T <SPACE>
шри	SH RJ I <SPACE>
шубууд	SH Uh V UUh T <SPACE>
шубуун	SH Uh V UUh NG <SPACE>
шугам	SH Uh Gr EH M <SPACE>
шугамууд	SH Uh Gr EH M UUh T <SPACE>
шудалагдажал	SH Uh D EH L EH G D EH ZH EH L <SPACE>
шудалагдан	SH Uh D EH L EH G L EH NG <SPACE>
шудалалга	SH Uh D EH L EH L Gr EH <SPACE>
шудалалгада	SH Uh D EH L EH L Gr EH D EH <SPACE>
шудалалгын	SH Uh D EH L EH L Gr Y NG <SPACE>
шудалдаг	SH Uh D EH L D EH K <SPACE>
шудалжал	SH Uh D EH L ZH EH L <SPACE>
шудалха	SH Uh D EH L H EH <SPACE>
шудалхаар	SH Uh D EH L H AA R <SPACE>
шудалһан	SH Uh D EH L HH EH NG <SPACE>
шударгы	SH Uh D EH R Gr Y <SPACE>
шулуу	SH Uh L UUh <SPACE>
шулуун	SH Uh L UUh NG <SPACE>
шулуунууд	SH Uh L UUh N UUh T <SPACE>
шуналтай	SH Uh N EH L T EE <SPACE>
шунгалга	SH Uh NG EH L Gr EH <SPACE>
шуран	SH Uh R EH NG <SPACE>
шуугаа	SH UUh Gr AA <SPACE>
шуумайса	SH UUh M EE S EH <SPACE>
шуурган	SH UUh R Gr EH NG <SPACE>
шууяа	SH UUh J AA <SPACE>
шууялдаан	SH UUh J A L D AA NG <SPACE>
шухала	SH Uh H EH L EH <SPACE>
шэбхэдэдэггүйбди	SH E P H EH D EH D EH G G UIs B DJ I <SPACE>
шэбхэдэнэгүй	SH E P H EH D EH N EH Gr UIs <SPACE>
шэбшэбэ	SH E P SH EH V EH <SPACE>
шэбэртэ	SH E V EH R T EH <SPACE>
шэбэртэеэ	SH E V EH R T EH J EE <SPACE>
шэглэлтэй	SH E G L EH L T EE <SPACE>
шэди	SH E DJ I <SPACE>
шэдитэ	SH E DJ I T EH <SPACE>
шэлэгдээ	SH E L EH G D EE <SPACE>
шэлэдэг	SH E L EH D EH K <SPACE>
шэлэдэгдэхээр	SH E L EH D EH G D EH H EE R <SPACE>
шэлэжэ	SH E L EH ZH EH <SPACE>
шэлэн	SH E L EH NG <SPACE>
шэлэхэ	SH E L EH H EH <SPACE>
шэмэг	SH E M EH K <SPACE>
шэмэглэжэрхёо	SH E M EH G L EH ZH EH R HJ OOh <SPACE>
шэмээшэгүүд	SH E M EE SH EH Gr UUs T <SPACE>
шэнгеэр	SH E NG GJ EE R <SPACE>
шэнги	SH E NG GJ I <SPACE>
шэнгэжэ	SH E NG G EH ZH EH <SPACE>
шэнгэн	SH E NG G EH NG <SPACE>
шэнгэрүүһэд	SH E NG G EH R UUs HH EH T <SPACE>
шэнжэлбэб	SH E N ZH EH L V EH P <SPACE>
шэнжэлдэг	SH E N ZH EH L D EH K <SPACE>
шэнжэлхэеэ	SH E N ZH EH L H EH J EE <SPACE>
шэнжэлэгдээ	SH E N ZH EH L EH G D EE <SPACE>
шэнжэлэн	SH E N ZH EH L EH N <SPACE>
шэнжэнүүд	SH E N ZH EH N UUs T <SPACE>
шэнжэтэй	SH E N ZH EH T EE <SPACE>
шэнхинээн	SH E N HJ I N EE NG <SPACE>
шэнэ	SH E N EH <SPACE>
шэрдэг	SH E R D EH G <SPACE>
шэртэн	SH E R T EH NG <SPACE>
шэрэ	SH E R EH <SPACE>
шэтэ	SH E T EH <SPACE>
шэхэндэ	SH E H EH N D EH <SPACE>
шүдэнэй	SH Us D EH N EE <SPACE>
шүлыень	SH Us L Y J EH NJ <SPACE>
шүлэг	SH Us L EH K <SPACE>
шүлэгдэмэл	SH Us L EH G D EH M EH L <SPACE>
шүлэгшын	SH Us L EH K SH Y NG <SPACE>
шүлэгшэ	SH Us L EH K SH EH <SPACE>
шүлэгэй	SH Us L EH Gr EE <SPACE>
шүлэгүүд	SH Us L EH Gr UUs T <SPACE>
шүлэгүүдыень	SH Us L EH Gr UUs D Y J EH NJ <SPACE>
шүлэгүүдэй	SH Us L EH Gr UUs D EE <SPACE>
шүлэгүүдээ	SH Us L EH Gr UUs D EE <SPACE>
шүлэгүүдээр	SH Us L EH Gr UUs D EE R <SPACE>
шүлэгүүдээрээ	SH Us L EH Gr UUs D EE R EE <SPACE>
шүлэгөөрөө	SH Us L EH G OOs R OOs <SPACE>
шүлһэ	SH Us L HH EH <SPACE>
шүтэлгын	SH Us T EH L Gr Y NG <SPACE>
шүүжэ	SH UUh ZH EH <SPACE>
шүүлэгүүдэй	SH UUh L EH Gr UUs D EE <SPACE>
эбтэй	E P T EE <SPACE>
эвенкнүүдтэй	E VJ E N K N UUs T T EE <SPACE>
эгэшэ	E Gr EH SH EH <SPACE>
эгээ	E Gr EE <SPACE>
эгээл	E Gr EE L <SPACE>
эдеэ	E DJ EE <SPACE>
эдеэгээ	E DJ EE Gr EE <SPACE>
эдеэгээр	E DJ EE Gr EE R <SPACE>
эдеэлхэ	E DJ EE L H EH <SPACE>
эдеэлүүлхэдээ	E DJ EE L UUs L H EH D EE <SPACE>
эди	E DJ I <SPACE>
эдижэ	E DJ I ZH EH <SPACE>
эдир	E DJ I R <SPACE>
эдиршүүлдэ	E DJ I R SH UUs L D EH <SPACE>
эдлээ	E T L EE <SPACE>
эдэ	E D EH <SPACE>
эдэбхи	E D EH P HJ I <SPACE>
эдэбхитэй	E D EH P HJ I T EE <SPACE>
эдэбхитэйгээр	E D EH P HJ I T EE Gr EE R <SPACE>
эетэй	E J EH T EE <SPACE>
эжы	E ZH Y <SPACE>
эжыдээ	E ZH Y D EE <SPACE>
эжые	E ZH Y J EH <SPACE>
эжымни	E ZH Y M NJ I <SPACE>
эжын	E ZH Y NG <SPACE>
эжынь	E ZH Y NJ <SPACE>
эжэл	E ZH EH L <SPACE>
эжэлүүдгүй	E ZH EH L UUs D G UIs <SPACE>
эзэлхын	E Z EH L H Y NG <SPACE>
эзэмдэжэ	E Z EH M D EH ZH EH <SPACE>
эзэмдэн	E Z EH M D EH NG <SPACE>
эзэн	E Z EH NG <SPACE>
экспедицеэр	E K S PJ E DJ I C EE R <SPACE>
экспедицимнай	E K S PJ E DJ I C EH M N EE <SPACE>
экшн	E K SH NG <SPACE>
элбэг	E L V EH K <SPACE>
элдэб	E L D EH P <SPACE>
элдэдэг	E L D EH D EH K <SPACE>
электронно	E LJ E K T R O N EH <SPACE>
элидхэлнүүд	E LJ I T H EH L N UUs T <SPACE>
элинсэг	E LJ I N S EH K <SPACE>
элинсэгэй	E LJ I N S EH Gr EE <SPACE>
элирүүлэгдээ	E LJ I R UUs L EH G D EE <SPACE>
элитэ	E LJ I T EH <SPACE>
элсүүлэнхэй	E L S UUs L EH N H EE <SPACE>
элшэтэ	E L SH EH T EH <SPACE>
эльбээд	E LJ V EE T <SPACE>
эльгээгдэһээн	E LJ G EE G D EH HH EE NG <SPACE>
эльгээхые	E LJ G EE H Y J EH <SPACE>
элүүр	E L UUs R <SPACE>
элһэнби	E L HH EH NG BJ I <SPACE>
эм	E M <SPACE>
эмхи	E M HJ I <SPACE>
эмхидхэгдэжэ	E M HJ I T H EH G D EH ZH EH <SPACE>
эмхидхэгдэһэн	E M HJ I T H EH G D EH HH EH NG <SPACE>
эмхидхэдэг	E M HJ I T H EH D EH K <SPACE>
эмхидхэхээр	E M HJ I T H EH H EE R <SPACE>
эмхидхээ	E M HJ I T H EE <SPACE>
эмхидхэһэн	E M HJ I T H EH HH EH NG <SPACE>
эмхинүүд	E M HJ I N UUs T <SPACE>
эндэ	E N D EH <SPACE>
эндэһээ	E N D EH HH EE <SPACE>
