ааб	AA P
һайнууд	HH EE N UUh T
һайса	HH EE S EH
һайхан	HH EE H EH NG
һайханаар	HH EE H EH N AA R
һайханай	HH EE H EH N EE
һайханиие	HH EE H EH NJ II J EH
һайханиинь	HH EE H EH NJ II NJ
һайхашаагдаа	HH EE H EH SH AA G D AA
һайшаалтай	HH EE SH AA L T EE
һалбаран	HH A L V EH R EH NG
һалбарида	HH A L V EH RJ I D EH
һалхин	HH A L HJ I NG
һалхинай	HH A L HJ I N EE
һамбаашалан	HH A M B AA SH EH L EH NG
һанаа	HH A N AA
һанааб	HH A N AA P
һанаагаа	HH A N AA Gr AA
һанаагаараа	HH A N AA Gr AA R AA
һанаархалга	HH A N AA R H EH L Gr EH
һанаатай	HH A N AA T EE
һанаатайб	HH A N AA T EE P
һанаатайбди	HH A N AA T EE B DJ I
һанааһаань	HH A N AA HH AA NJ
һанагдаа	HH A N EH G D AA
һанагдана	HH A N EH G D EH N EH
һанагшаб	HH A N EH G SH EH P
һанадаг	HH A N D EH K
һанадаггүйб	HH A N EH D EH G Gr UIs P
һанажа	HH A N EH ZH EH
һанал	HH A N EH L
һанамжа	HH A N EH M ZH EH
һанамжануудые	HH A N EH M ZH EH N UUh D Y J EH
һананаб	HH A N EH N EH P
һананагүйб	HH A N EH N EH G UIs P
һананам	HH A N EH N EH M
һанахаар	HH A N EH H AA R
һанахада	HH A N EH H EH D EH
һанашадагби	HH A N EH SH EH D EH G BJ I
һанаһан	HH A N EH HH EH NG
һандарааб	HH A N D EH R AA P
һандараагүй	HH A N D EH R AA Gr UIs
һандарал	HH A N D EH R EH L
һандаралай	HH A N D EH R EH L EE
һандаранхай	HH A N D EH R EH N H EE
һандаргагдажа	HH A N D EH R Gr EH G D EH ZH EH
һандаргажа	HH A N D EH R Gr EH ZH EH
һандархада	HH A N D EH R H EH D EH
һарада	HH A R EH D EH
һарбайнаб	HH A R V EE N EH P
һаруулхан	HH A R UUh L H EH NG
һархяаг	HH A R HJ AA K
һарын	HH A R Y NG
һаяхан	HH A J EH H EH NG
һаяхана	HH A J EH H EH N EH
һмм	HH M
һогтуу	HH O K T UUh
һолонго	HH O L EH NG G EH
һонин	HH O NJ I NG
һонирхобобди	HH O NJ I R H EH V EH B DJ I
һонирходог	HH O NJ I R H EH D EH K
һонирхол	HH O NJ I R H EH L
һонирхолой	H O NJ I R H EH L EE
һонирхолтой	H O NJ I R H EH L T EE
һонирхолтойгоор	HH O NJ I R H EH L T EH R EE Gr OOh R
һонирхооб	HH O NJ I R H OOh P
һонирхоод	HH O NJ I R H OOh T
һонирхохо	HH O NJ I R H EH H EH
һонирхоһон	HH O NJ I R H EH HH EH NG
һонирхуулна	HH O NJ I R H UUh L N EH
һонирхуулха	HH O NJ I R H UUh L H EH
һонор	HH O N EH R
һорилго	HH O RJ I L Gr EH
һорилгодоо	HH O RJ I L Gr EH D OOh
һубиһандал	HH Uh VJ I HH EH N D EH L
һударһаа	HH Uh D EH R HH AA
һунгаа	HH Uh NG G AA
һунгажа	HH Uh NG G EH ZH EH
һураа	HH Uh R AA
һураад	HH Uh R AA T
һурагшад	HH Uh R EH K SH EH T
һурагшадтаа	HH Uh R EH K SH EH T T AA
һурадаг	HH Uh R EH D EH K
һуража	HH Uh R EH ZH EH
һуралсал	HH Uh R EH L S EH L
һуралсалай	HH Uh R EH L S EH L EE
һурана	HH Uh R EH N EH
һурахадаа	HH Uh R EH H EH D AA
һурахадатнай	HH Uh R EH H EH D EH T N EE
һурахаш	HH Uh R EH H EH SH
һурахаяа	HH Uh R EH H EH J AA
һурахын	HH Uh R EH H Y NG
һураһан	HH Uh R EH HH EH NG
һургаа	HH Uh R Gr AA
һургажа	HH Uh R Gr EH ZH EH
һургажархихань	HH Uh R Gr EH ZH EH R HJ I H EH NJ
һургал	HH Uh R Gr EH L
һурган	HH Uh R Gr EH NG
һургаха	HH Uh R Gr EH H EH
һургуули	HH Uh R Gr UUh LJ I
һургуулигүй	HH Uh R Gr UUh LJ I Gr UIs
һургуулида	HH Uh R Gr UUh LJ I D EH
һургуулиин	HH Uh R Gr UUh LJ II NG
һургуулиингаа	HH Uh R Gr UUh LJ II NG G AA
һургуулинууд	HH Uh R Gr UUh LJ I N UUh T
һургуулинуудай	HH Uh R Gr UUh LJ I N UUh D EE
һургуулинуудтай	HH Uh R Gr UUh LJ I N UUh T T EE
һургуулитай	HH Uh R Gr UUh LJ I T EE
һургуулияа	HH Uh R Gr UUh LJ I J AA
һуугаа	HH UUh Gr AA
һуури	HH UUh RJ I
һуурида	HH UUh RJ I D EH
һуурин	HH UUh RJ I NG
һуурингуудай	HH UUh RJ I NG UUh D EE
һууринуудые	HH UUh RJ I N UUh D Y J EH
һууринһаа	HH UUh RJ I N HH AA
һуухадам	HH UUh H EH D EH M
һуха	HH Uh H EH
һэдэлгэнь	HH E D EH L Gr EH NJ
һэжэрээ	HH E ZH EH R EE
һэлгэлдэн	HH E L Gr EH L D EH NG
һэм	HH E M
һэмби	HH E M BJ I
һэмди	HH E M DJ I
һэн	HH EH NG
һэргэлгын	HH E R Gr EH L G Y NG
һэргэлгэ	HH E R Gr EH L Gr EH
һэргээе	HH E R Gr EE J EH
һэргээжэ	HH E R Gr EE ZH EH
һэргээхын	HH E R Gr EE H Y NG
һэргээхэ	HH E R Gr EE H EH
һэргээхэбди	HH E R Gr EE H EH B DJ I
һэрюулээш	HH E RJ UUh L EE SH
һээ	HH EE
һү	HH Us
һүбэлгэн	HH Us V EH L Gr EH NG
һүзэгтэдтэй	HH Us Z EH K T EH T T EE
һүлдэ	HH Us L D EH
һүн	HH Us NG
һүни	HH Us NJ I
һүрөөтэй	HH Us R OOs T EE
һүүлдэ	HH UUs L D EH
һүүлдэнь	HH UUs L D EH NJ
һүүлшын	HH UUs L SH Y NG
һүүлэй	HH UUs L EE
һүүлээр	HH UUs L EE R
һүүлээрнь	HH UUs L EE R NJ
һүүн	HH UUs NG
һүүтэй	HH UUs T EE
һөөргэнь	HH OOs R EH NJ
һөөргөө	HH OOs R Gr OOs
өөрсэ	OOs R S EH
өөрын	OOs R Y NG
өөрынгөө	OOs R Y NG G OOs
өөрынхеэрээл	OOs R Y N HJ EE R EE L
өөрөө	OOs R OOs
өөрөөшье	OOs R OOs SH J EH
өөһэд	OOs HH EH T
өөһэдын	OOs HH EH D Y NG
өөһэдөө	OOs HH EH D OOs
өөһэнөө	OOs HH EH N OOs
шэмээгуй    SH E M EE Gr UIs
унгэроолда  Uh NG G EH R OOh L D A
эжынэрынь   E ZH Y N EH R Y NJ
багтаамжа   B A K T AA M ZH EH
амисгалан   A MJ I S H EH L EH NG
бужагануулһан   B Uh ZH EH Gr EH N UUh L HH EH NG
нэнгээд N E NG G EE T
хормойдо    H O R M EE D EH
адармаатайхан   A D EH R M AA T EE H EH NG
үбгөө   Us V G OOs
яларуулжа   J A L EH R UUh L ZH EH
худалдажа   H Uh D EH L D EH ZH EH
хуйтэндэ    H UIh T EH N D EH
хойноһоо
гэн
шүлэгөөрөө
сэсэг
хоорхыео
эхэнэршэни  E H EH N EH R SH EH NG
эрьелдэнэ   E RJ J EH L D EH N EH
хадуурхагүйл    H A D UUh R H EH Gr UIs L
орьёлые O RJ J O L Y J EH
мүнхэлбэ    M Us N H E L V EH
ялагдангуй
уһаш    Uh HH EH SH
мүнхын  M Us NG H Y NG
аршаандаш   A R SH AA N D EH SH
хоорхыео
найргуй
эбдэһэн
гү Gr Us
ерээдуйтээнь    J E R EE D UIh T EE NJ
болеол
турьяан T Uh RJ J AA NG
бии B Y
үргэн
дотороороо
айлгахагуйм
элшээр
таһараа
залираадүйдэ
гарни
гүбди
ургэлжэлуулжэ
голни
баяртайбди
дамжуулагдаа
урданьхэмжэшэгүй
цогсоһоо
адляар
долгилыш
забдагуй
мартагдашагуй
табисан
хойноһоонь
буляажа
ёһолнод
тогтотохонь
хахадсүлэй
ойроньтүгдэршэгүй
бадаруулая
болёод
ерээдүйнгөө
биолог
толгойгороо
дуратайлди
бугуйбша
богжын
тэбшээритээдэнь
хундхоожэ
дууланалби
хуугэдтоо
сэдьхэлтэйдэнь
худалдажа
сулоогуй
бадаржа
нютагшни
хэнтий
хоюлаа
сэбэрлхээ
гарая
шимни
юртэмсымни
һанаатайлди
ая ганга
хорвоо
долгёор
тумэноороо
оеногуй
алдуу
алдартайханаар
агаарташ
ганган
бол
моригуй
хоюлаа
